                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63677,                0.59802,                 1.0798,                0.17138,                0.28571,                0.13528,                0.06191,                 2.0543,                  4.755,                 2.3857,              0.0019327,              0.0019327,              0.0019327
                     36,                0.64104,                0.58057,                 1.0514,                0.36726,                0.32143,                0.22806,                0.10258,                  2.262,                 2.7905,                 2.4015,              0.0019307,              0.0019307,              0.0019307
                     37,                0.61955,                0.54213,                 1.0857,                0.50051,                0.55357,                0.49534,                0.22776,                 1.8707,                 1.7632,                 2.0584,              0.0019287,              0.0019287,              0.0019287
                     38,                 0.6359,                0.55151,                 1.0701,                 0.5157,                0.44643,                0.41404,                0.22192,                 1.5881,                 1.9938,                 1.8638,              0.0019267,              0.0019267,              0.0019267
                     39,                0.57828,                0.53618,                 1.0685,                0.44167,                0.39286,                 0.3724,                0.20941,                 1.7365,                 2.0614,                 2.0899,              0.0019248,              0.0019248,              0.0019248
                     40,                0.60818,                0.54426,                 1.0666,                0.48298,                   0.25,                0.31852,                0.23389,                 1.0814,                 1.9007,                 1.4392,              0.0019228,              0.0019228,              0.0019228
                     41,                0.59021,                0.51626,                 1.0652,                0.38693,                0.60714,                0.48644,                0.34461,                 1.1317,                 1.4828,                 1.5132,              0.0019208,              0.0019208,              0.0019208
                     42,                0.62211,                0.54456,                 1.0641,                0.60816,                0.51786,                0.52396,                0.36993,                0.98204,                 1.8405,                 1.5099,              0.0019188,              0.0019188,              0.0019188
                     43,                0.56629,                 0.4942,                 1.0466,                0.86202,                  0.625,                 0.7286,                0.51717,                0.97888,                 1.3965,                 1.7699,              0.0019168,              0.0019168,              0.0019168
                     44,                0.62282,                0.52953,                 1.0539,                 0.7293,                0.73214,                0.76676,                0.58154,                0.88707,                 1.2052,                 1.5731,              0.0019149,              0.0019149,              0.0019149
                     45,                0.56451,                0.49536,                 1.0405,                0.57083,                0.59385,                0.58334,                0.38001,                 1.2888,                 1.5802,                 1.6844,              0.0019129,              0.0019129,              0.0019129
                     46,                0.59802,                 0.5371,                 1.0601,                0.55667,                0.44643,                0.41548,                0.31509,                0.91218,                 2.2923,                 1.2876,              0.0019109,              0.0019109,              0.0019109
                     47,                0.59158,                0.49849,                 1.0388,                0.83029,                0.57143,                0.64452,                0.50016,                0.99276,                 1.2549,                 1.3928,              0.0019089,              0.0019089,              0.0019089
                     48,                0.59389,                0.50855,                 1.0419,                0.78469,                0.84611,                  0.849,                0.66053,                0.82431,                0.96095,                 1.3242,              0.0019069,              0.0019069,              0.0019069
                     49,                0.56358,                0.51638,                 1.0538,                0.83541,                0.82143,                0.87941,                 0.7178,                0.78168,                0.73865,                  1.252,               0.001905,               0.001905,               0.001905
                     50,                0.59916,                 0.5387,                 1.0377,                0.56039,                0.55357,                0.58794,                0.43382,                 1.0037,                 1.2993,                 1.4819,               0.001903,               0.001903,               0.001903
                     51,                0.53794,                0.48473,                 1.0408,                0.90632,                 0.6911,                0.82857,                0.61004,                0.88661,                0.84892,                 1.3298,               0.001901,               0.001901,               0.001901
                     52,                0.52955,                0.46842,                   1.03,                0.69716,                0.69643,                 0.7072,                0.52355,                 1.1858,                0.94057,                  1.459,               0.001899,               0.001899,               0.001899
                     53,                0.60415,                0.50627,                 1.0377,                0.70149,                0.64286,                0.65759,                 0.4844,                 1.0108,                 1.0675,                 1.3689,               0.001897,               0.001897,               0.001897
                     54,                 0.5332,                0.46467,                 1.0279,                 0.7694,                0.71429,                0.77284,                0.60775,                0.79989,                0.97089,                 1.2022,              0.0018951,              0.0018951,              0.0018951
                     55,                0.51602,                 0.4531,                 1.0249,                0.70313,                0.84596,                0.84149,                0.66523,                0.83158,                0.82399,                 1.3953,              0.0018931,              0.0018931,              0.0018931
                     56,                0.53092,                0.46038,                  1.041,                0.97922,                0.84157,                0.92099,                0.74506,                0.74114,                0.62611,                 1.1963,              0.0018911,              0.0018911,              0.0018911
                     57,                0.60347,                0.49488,                 1.0622,                0.78637,                0.78881,                0.86457,                0.60292,                 1.0439,                0.85377,                 1.5312,              0.0018891,              0.0018891,              0.0018891
                     58,                0.54626,                 0.4493,                 1.0212,                0.80808,                0.64286,                 0.7882,                 0.5826,                0.90162,                0.86777,                 1.3108,              0.0018871,              0.0018871,              0.0018871
                     59,                0.53302,                0.45499,                 1.0116,                0.95112,                0.78571,                0.88552,                 0.6175,                0.97605,                 1.0473,                 1.3747,              0.0018852,              0.0018852,              0.0018852
                     60,                0.51017,                 0.4326,                 1.0291,                0.88367,                0.76786,                0.87875,                0.63765,                0.90507,                0.77698,                 1.4278,              0.0018832,              0.0018832,              0.0018832
                     61,                0.58749,                 0.4663,                  1.022,                0.89128,                0.73199,                0.86309,                0.64823,                  0.806,                0.73554,                 1.2307,              0.0018812,              0.0018812,              0.0018812
                     62,                 0.5153,                0.43807,                 1.0201,                0.82228,                0.74369,                 0.8347,                0.64361,                 0.9183,                0.93775,                 1.3748,              0.0018792,              0.0018792,              0.0018792
                     63,                0.52505,                0.42977,                 1.0364,                0.91777,                0.79728,                 0.8841,                0.73865,                0.68164,                0.94713,                  1.124,              0.0018772,              0.0018772,              0.0018772
                     64,                0.55192,                0.44337,                 1.0567,                0.96181,                0.78571,                0.90728,                0.78507,                0.58015,                0.73375,                 1.0575,              0.0018753,              0.0018753,              0.0018753
                     65,                0.57911,                0.48901,                 1.0497,                0.86143,                0.88813,                0.91541,                0.77789,                0.60832,                0.71149,                 1.0917,              0.0018733,              0.0018733,              0.0018733
                     66,                0.53356,                0.45837,                 1.0451,                 0.8821,                0.93525,                0.94496,                0.80012,                0.61055,                0.48598,                 1.0941,              0.0018713,              0.0018713,              0.0018713
                     67,                0.48496,                0.42725,                 1.0058,                0.79413,                0.71429,                0.79658,                0.48037,                 1.2159,                 1.0249,                 2.2647,              0.0018693,              0.0018693,              0.0018693
                     68,                0.52338,                0.45037,                 1.0198,                0.81818,                0.80358,                0.86762,                0.74233,                0.65698,                0.94876,                 1.1786,              0.0018673,              0.0018673,              0.0018673
                     69,                0.58956,                0.47882,                 1.0392,                0.70555,                0.67857,                0.71596,                0.60262,                0.79203,                 1.5987,                 1.3158,              0.0018654,              0.0018654,              0.0018654
                     70,                0.50749,                0.44048,                 1.0144,                0.95472,                0.83929,                0.89102,                0.73154,                0.64511,                0.77404,                 1.1278,              0.0018634,              0.0018634,              0.0018634
                     71,                 0.5356,                0.43716,                 1.0212,                0.96091,                0.78571,                0.89903,                0.77539,                0.60943,                0.66084,                 1.1065,              0.0018614,              0.0018614,              0.0018614
                     72,                0.54994,                0.44893,                 1.0188,                0.95776,                0.89286,                0.95419,                0.81422,                0.55888,                0.52756,                 1.0645,              0.0018594,              0.0018594,              0.0018594
                     73,                0.47166,                0.41517,                 1.0136,                0.99493,                0.91071,                 0.9501,                0.82843,                0.58839,                0.59613,                 1.0896,              0.0018574,              0.0018574,              0.0018574
                     74,                0.48188,                0.40717,                0.98988,                0.92722,                0.78571,                0.90253,                0.67874,                0.86713,                0.84374,                 1.4772,              0.0018555,              0.0018555,              0.0018555
                     75,                0.52652,                0.45273,                 1.0269,                0.93574,                0.82143,                0.85651,                0.61559,                 1.0481,                 1.0159,                 1.8209,              0.0018535,              0.0018535,              0.0018535
                     76,                0.52112,                0.41111,                 1.0099,                0.92174,                0.76786,                0.90615,                0.67767,                0.85279,                0.79898,                 1.4854,              0.0018515,              0.0018515,              0.0018515
                     77,                0.49738,                0.40892,                 1.0065,                0.82272,                0.82881,                0.86942,                0.60356,                0.98607,                0.84525,                 1.5823,              0.0018495,              0.0018495,              0.0018495
                     78,                 0.4953,                0.39249,                 1.0025,                0.89696,                0.85714,                0.93174,                0.78271,                0.64511,                0.56727,                 1.1865,              0.0018475,              0.0018475,              0.0018475
                     79,                0.47966,                0.39018,                 1.0206,                0.95676,                0.79036,                0.91619,                0.78233,                0.58948,                0.60753,                 1.1018,              0.0018456,              0.0018456,              0.0018456
                     80,                0.51468,                0.40593,                 1.0274,                0.89176,                0.88284,                0.92783,                0.81107,                0.52212,                0.73926,                 1.0278,              0.0018436,              0.0018436,              0.0018436
                     81,                0.51813,                0.41253,                 1.0051,                0.96318,                0.82143,                0.93564,                0.82939,                0.50548,                0.49215,                 1.0024,              0.0018416,              0.0018416,              0.0018416
                     82,                0.46687,                0.38587,                0.98239,                0.83623,                0.96429,                 0.9478,                  0.823,                0.53382,                 0.4772,                 1.0199,              0.0018396,              0.0018396,              0.0018396
                     83,                0.48068,                0.39844,                 1.0179,                0.94532,                0.92628,                0.94962,                  0.817,                0.60734,                0.46226,                 1.1167,              0.0018376,              0.0018376,              0.0018376
                     84,                0.49897,                 0.4066,                0.98917,                0.94227,                0.92857,                0.94313,                0.82352,                0.61723,                0.41948,                 1.0935,              0.0018357,              0.0018357,              0.0018357
                     85,                0.52477,                0.40696,                 1.0188,                0.94426,                0.90751,                0.94165,                0.79615,                0.66038,                0.46703,                 1.1851,              0.0018337,              0.0018337,              0.0018337
                     86,                0.50546,                0.39979,                 1.0109,                0.92848,                 0.9273,                0.95847,                0.78896,                0.66904,                0.45674,                 1.1815,              0.0018317,              0.0018317,              0.0018317
                     87,                0.52333,                0.40971,                 1.0202,                      1,                0.92626,                0.96303,                 0.8192,                0.55658,                0.47814,                 1.0523,              0.0018297,              0.0018297,              0.0018297
                     88,                0.50371,                0.41375,                 1.0062,                 0.8799,                0.91071,                0.94355,                0.79815,                  0.644,                0.55663,                 1.1522,              0.0018277,              0.0018277,              0.0018277
                     89,                0.53766,                0.41871,                 1.0227,                 0.9748,                0.91071,                0.95926,                0.82705,                0.56657,                0.45989,                 1.0485,              0.0018258,              0.0018258,              0.0018258
                     90,                0.48787,                0.38206,                 1.0031,                0.87081,                0.89286,                0.92008,                0.78969,                0.60783,                0.49751,                 1.1018,              0.0018238,              0.0018238,              0.0018238
                     91,                0.50395,                0.40692,                 1.0118,                0.97991,                0.89286,                0.95173,                0.83599,                0.54122,                0.41199,                 1.0416,              0.0018218,              0.0018218,              0.0018218
                     92,                0.47182,                0.38894,                0.99151,                0.98349,                0.91071,                0.95466,                0.85439,                0.50289,                0.39507,                 1.0197,              0.0018198,              0.0018198,              0.0018198
                     93,                0.48067,                0.40325,                0.99695,                 0.9464,                0.94597,                0.96045,                0.84604,                0.58192,                0.38081,                 1.0528,              0.0018178,              0.0018178,              0.0018178
                     94,                0.52671,                0.42187,                 1.0306,                0.89607,                0.92386,                0.93443,                0.79278,                0.65131,                0.51425,                  1.118,              0.0018159,              0.0018159,              0.0018159
                     95,                0.49981,                0.40142,                 1.0123,                0.95752,                0.80511,                0.93502,                 0.7818,                0.67616,                0.54775,                 1.1514,              0.0018139,              0.0018139,              0.0018139
                     96,                0.48555,                0.39372,                  1.005,                0.98014,                0.88153,                 0.9575,                0.85054,                0.50474,                0.46646,                 1.0276,              0.0018119,              0.0018119,              0.0018119
                     97,                0.47745,                0.38116,                0.98527,                 0.9269,                0.90581,                 0.9329,                0.77564,                0.65726,                0.49098,                 1.1836,              0.0018099,              0.0018099,              0.0018099
                     98,                0.44785,                0.38139,                 1.0035,                0.88397,                0.83929,                0.90077,                0.74987,                0.67644,                 0.5332,                 1.2263,              0.0018079,              0.0018079,              0.0018079
                     99,                0.48035,                0.37655,                 1.0021,                0.91026,                0.90573,                0.93023,                0.79499,                0.57213,                0.43557,                 1.0787,               0.001806,               0.001806,               0.001806
                    100,                0.46221,                0.37208,                0.97919,                0.88022,                0.85714,                0.90936,                0.76357,                0.64335,                0.50058,                 1.1503,               0.001804,               0.001804,               0.001804
                    101,                0.45373,                0.34989,                0.98966,                0.94212,                0.87203,                0.90321,                0.78292,                0.62512,                0.51012,                 1.1143,               0.001802,               0.001802,               0.001802
                    102,                0.46364,                0.36487,                0.99546,                0.92169,                0.84077,                0.88541,                0.75226,                0.65075,                0.53608,                 1.1606,                 0.0018,                 0.0018,                 0.0018
                    103,                0.46575,                0.36114,                0.99968,                0.89401,                0.75313,                0.87195,                0.74484,                0.62808,                0.66784,                 1.1169,               0.001798,               0.001798,               0.001798
                    104,                0.51068,                0.41483,                 1.0012,                0.99114,                  0.875,                0.93971,                0.81892,                0.54675,                0.43422,                 1.0404,              0.0017961,              0.0017961,              0.0017961
                    105,                0.45568,                 0.3705,                0.97613,                0.95662,                  0.875,                0.93806,                0.80798,                0.60569,                0.45846,                 1.1062,              0.0017941,              0.0017941,              0.0017941
                    106,                0.51408,                0.38781,                 1.0006,                0.94604,                0.93922,                0.95748,                0.81768,                0.57555,                0.43126,                 1.0934,              0.0017921,              0.0017921,              0.0017921
                    107,                0.43961,                0.35449,                0.97419,                0.97304,                0.85714,                0.92399,                0.81667,                0.55123,                0.46919,                 1.0311,              0.0017901,              0.0017901,              0.0017901
                    108,                 0.5132,                0.37853,                 1.0257,                0.95998,                0.89286,                 0.9372,                0.83206,                0.49298,                0.40726,                0.98631,              0.0017881,              0.0017881,              0.0017881
                    109,                0.46646,                0.37545,                0.99271,                0.98962,                0.92857,                0.96138,                 0.8502,                0.49713,                0.38086,                0.99134,              0.0017862,              0.0017862,              0.0017862
                    110,                 0.4882,                0.39012,                0.99365,                0.96031,                0.86409,                0.95082,                0.81603,                 0.5371,                0.44993,                 1.0207,              0.0017842,              0.0017842,              0.0017842
                    111,                0.45724,                0.36852,                 0.9968,                0.94055,                0.92857,                0.95111,                 0.8218,                 0.5186,                0.43332,                 1.0041,              0.0017822,              0.0017822,              0.0017822
                    112,                 0.4746,                0.36364,                0.98319,                0.99914,                0.91071,                0.96061,                0.83367,                0.49233,                0.37331,                0.99577,              0.0017802,              0.0017802,              0.0017802
                    113,                0.47091,                0.36282,                0.97341,                0.99387,                0.94643,                0.96413,                0.79393,                0.58111,                0.42677,                 1.0852,              0.0017782,              0.0017782,              0.0017782
                    114,                0.44497,                0.36173,                0.99583,                0.92974,                0.94522,                 0.9569,                0.79403,                0.58698,                0.47072,                 1.0891,              0.0017763,              0.0017763,              0.0017763
                    115,                0.45954,                0.36399,                0.98159,                0.94542,                0.92794,                0.95328,                0.82086,                0.56691,                0.40335,                 1.0328,              0.0017743,              0.0017743,              0.0017743
                    116,                0.45715,                0.34833,                0.97776,                0.92705,                0.90779,                0.95535,                0.83878,                0.52536,                0.37662,                 1.0322,              0.0017723,              0.0017723,              0.0017723
                    117,                0.42048,                0.35118,                0.97456,                0.86465,                0.91261,                0.93478,                0.81709,                0.53154,                 0.5124,                 1.0485,              0.0017703,              0.0017703,              0.0017703
                    118,                0.45759,                0.36684,                0.96862,                0.90734,                0.89286,                0.93925,                0.84151,                0.51356,                0.43546,                  1.031,              0.0017683,              0.0017683,              0.0017683
                    119,                0.46938,                 0.3693,                0.98434,                0.89792,                0.94249,                0.95319,                0.86542,                0.47308,                 0.3787,                0.99174,              0.0017664,              0.0017664,              0.0017664
                    120,                0.41898,                0.34934,                0.95823,                0.92697,                0.96429,                0.95797,                0.84575,                0.55712,                0.39358,                 1.0527,              0.0017644,              0.0017644,              0.0017644
                    121,                  0.426,                0.35246,                0.98643,                      1,                0.94391,                0.96381,                0.85746,                0.49512,                0.35525,                 1.0012,              0.0017624,              0.0017624,              0.0017624
                    122,                0.45331,                0.35821,                0.97277,                0.92846,                0.92707,                 0.9313,                0.80299,                0.60486,                 0.4572,                 1.1137,              0.0017604,              0.0017604,              0.0017604
                    123,                 0.4436,                0.35612,                0.96853,                0.89624,                 0.9255,                0.93309,                0.79846,                0.60259,                0.45427,                  1.122,              0.0017584,              0.0017584,              0.0017584
                    124,                0.47904,                0.35243,                0.97784,                0.97319,                0.91071,                0.95827,                 0.8617,                 0.4907,                0.38282,                0.99816,              0.0017565,              0.0017565,              0.0017565
                    125,                0.42998,                0.34862,                0.97267,                0.94325,                0.89053,                0.95658,                0.84846,                0.50254,                0.46381,                 1.0095,              0.0017545,              0.0017545,              0.0017545
                    126,                 0.4758,                 0.3595,                0.97584,                0.97663,                  0.875,                0.94022,                0.84157,                 0.4968,                0.44798,                0.98537,              0.0017525,              0.0017525,              0.0017525
                    127,                0.47759,                0.35458,                0.99423,                0.92054,                0.83929,                0.92006,                0.81722,                0.51218,                0.55954,                 1.0409,              0.0017505,              0.0017505,              0.0017505
                    128,                0.46183,                0.37288,                0.99446,                0.91377,                0.83929,                 0.9317,                0.82268,                0.49991,                 0.6885,                 1.0156,              0.0017485,              0.0017485,              0.0017485
                    129,                0.48106,                0.37193,                0.96659,                0.98061,                0.90324,                0.95958,                0.83855,                0.54369,                0.52534,                 1.0271,              0.0017466,              0.0017466,              0.0017466
                    130,                0.44964,                0.35329,                0.97256,                 0.9698,                0.91071,                0.94477,                 0.8485,                0.52091,                0.39717,                 1.0234,              0.0017446,              0.0017446,              0.0017446
                    131,                0.44423,                0.36389,                0.98439,                0.94019,                0.92857,                0.93764,                0.84168,                 0.5167,                  0.447,                 1.0098,              0.0017426,              0.0017426,              0.0017426
                    132,                 0.4505,                0.36213,                0.97247,                 0.9618,                0.89939,                0.95171,                 0.8394,                0.54077,                0.44561,                 1.0549,              0.0017406,              0.0017406,              0.0017406
                    133,                0.45166,                0.38293,                 1.0022,                0.94538,                0.92725,                0.93426,                0.83181,                0.52588,                0.46453,                 1.0165,              0.0017386,              0.0017386,              0.0017386
