                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.42966,                0.35191,                0.97015,                0.94431,                0.92857,                 0.9461,                0.86813,                0.46704,                0.36344,                0.97096,               0.001703,               0.001703,               0.001703
                    152,                 0.4145,                0.31631,                0.95567,                0.95722,                0.91071,                0.94504,                0.84754,                 0.4478,                0.37669,                0.98338,               0.001701,               0.001701,               0.001701
                    153,                0.41264,                0.33724,                0.95653,                0.98036,                0.89117,                0.95779,                0.87248,                0.45439,                0.34218,                 0.9711,               0.001699,               0.001699,               0.001699
                    154,                0.42076,                0.32277,                0.95936,                0.98069,                0.90684,                0.95967,                0.87257,                0.44796,                0.32349,                0.96249,              0.0016971,              0.0016971,              0.0016971
                    155,                0.43145,                0.34366,                0.97882,                 0.9871,                0.91071,                 0.9641,                0.84882,                0.49433,                0.35906,                 1.0219,              0.0016951,              0.0016951,              0.0016951
                    156,                 0.4668,                0.37241,                0.98559,                0.98182,                0.96414,                0.96601,                 0.8762,                0.44247,                0.29356,                0.96408,              0.0016931,              0.0016931,              0.0016931
                    157,                0.42678,                 0.3413,                0.95954,                0.98055,                0.94643,                0.96452,                0.86283,                0.47757,                0.36181,                 1.0032,              0.0016911,              0.0016911,              0.0016911
                    158,                0.41701,                0.33246,                0.97015,                0.97821,                0.94643,                0.96208,                0.85673,                0.49279,                0.39674,                 1.0166,              0.0016891,              0.0016891,              0.0016891
                    159,                0.45053,                0.34955,                0.97291,                0.95609,                0.89286,                0.95321,                0.84505,                0.52777,                0.49633,                  1.061,              0.0016872,              0.0016872,              0.0016872
                    160,                0.44698,                0.35714,                0.96176,                0.98084,                0.91444,                0.96287,                0.82872,                0.55463,                0.39469,                 1.1125,              0.0016852,              0.0016852,              0.0016852
                    161,                0.43301,                0.34266,                0.97902,                0.95025,                0.91071,                0.94655,                0.79362,                0.66062,                0.39481,                 1.3005,              0.0016832,              0.0016832,              0.0016832
                    162,                0.46303,                0.34701,                 0.9838,                0.93598,                0.92857,                0.96168,                0.84415,                0.53358,                0.36621,                 1.0859,              0.0016812,              0.0016812,              0.0016812
                    163,                0.44098,                0.32503,                0.97175,                      1,                0.92387,                0.96408,                0.86542,                0.48882,                0.33635,                0.99843,              0.0016792,              0.0016792,              0.0016792
                    164,                0.47435,                0.35288,                0.98643,                0.99452,                0.94643,                0.96587,                0.85982,                0.50235,                0.31779,                 1.0036,              0.0016773,              0.0016773,              0.0016773
                    165,                0.43654,                0.33258,                0.98807,                0.94215,                0.92857,                 0.9479,                0.85553,                0.47565,                0.33175,                0.97948,              0.0016753,              0.0016753,              0.0016753
                    166,                 0.4056,                0.32565,                 0.9575,                      1,                0.90504,                0.94505,                0.85819,                0.47944,                0.39102,                0.99533,              0.0016733,              0.0016733,              0.0016733
                    167,                0.41573,                0.32752,                 0.9668,                0.97335,                0.92857,                0.95886,                 0.8586,                0.49174,                0.35322,                  1.014,              0.0016713,              0.0016713,              0.0016713
                    168,                0.43316,                0.32737,                0.96128,                0.99171,                0.80357,                0.94343,                0.82199,                0.52253,                0.42031,                 1.0449,              0.0016693,              0.0016693,              0.0016693
                    169,                0.41181,                0.31738,                0.96024,                0.97998,                0.91071,                0.95347,                0.85752,                0.49305,                0.37624,                0.99707,              0.0016674,              0.0016674,              0.0016674
                    170,                0.38552,                0.32414,                0.96514,                0.95569,                0.85714,                0.92832,                0.84973,                0.44371,                 0.4416,                0.97158,              0.0016654,              0.0016654,              0.0016654
                    171,                0.41038,                0.31731,                0.96594,                0.91565,                  0.875,                 0.9329,                 0.8426,                 0.4665,                0.44557,                0.98216,              0.0016634,              0.0016634,              0.0016634
                    172,                0.39849,                0.29698,                0.94458,                0.86838,                0.94643,                0.94934,                0.84281,                0.49924,                0.38552,                0.99474,              0.0016614,              0.0016614,              0.0016614
                    173,                0.41703,                0.31628,                 0.9625,                0.96243,                0.91501,                0.96364,                  0.874,                0.45542,                0.30328,                0.94582,              0.0016594,              0.0016594,              0.0016594
                    174,                0.44943,                0.32925,                0.96782,                0.96154,                0.96429,                0.96694,                0.88796,                0.41193,                0.28474,                0.92807,              0.0016575,              0.0016575,              0.0016575
                    175,                0.41934,                0.32732,                0.96916,                0.91781,                0.94643,                0.95834,                 0.8749,                0.42425,                0.31928,                0.96166,              0.0016555,              0.0016555,              0.0016555
                    176,                0.40981,                0.31402,                0.95845,                 0.9087,                0.94643,                0.95988,                0.86365,                0.44515,                0.32256,                0.96413,              0.0016535,              0.0016535,              0.0016535
                    177,                0.40794,                0.31537,                0.94334,                0.96035,                0.94643,                0.94738,                0.87132,                0.47161,                0.34351,                 1.0095,              0.0016515,              0.0016515,              0.0016515
                    178,                0.40079,                0.31587,                0.96043,                0.92902,                0.93501,                 0.9497,                0.84854,                 0.4797,                0.36906,                 1.0177,              0.0016495,              0.0016495,              0.0016495
                    179,                0.38896,                0.31055,                0.95078,                0.97716,                0.96429,                 0.9655,                0.88438,                0.39696,                0.27555,                0.95395,              0.0016476,              0.0016476,              0.0016476
                    180,                0.44003,                0.35509,                0.96058,                 0.9526,                0.94643,                0.96424,                 0.8771,                0.41182,                0.34295,                0.95594,              0.0016456,              0.0016456,              0.0016456
                    181,                0.42382,                0.32759,                0.96499,                0.96256,                0.91822,                0.96467,                0.87183,                0.43514,                0.52602,                0.95321,              0.0016436,              0.0016436,              0.0016436
                    182,                0.42624,                0.33114,                0.97902,                0.90639,                0.86459,                0.92546,                 0.8122,                 0.5164,                0.66596,                 1.0172,              0.0016416,              0.0016416,              0.0016416
                    183,                0.38681,                0.30968,                0.95436,                0.88321,                0.94531,                0.95528,                0.86847,                0.44801,                0.42978,                0.96011,              0.0016396,              0.0016396,              0.0016396
                    184,                 0.4094,                0.31959,                0.95942,                0.98135,                0.93965,                0.96596,                0.86748,                0.46743,                 0.3561,                0.98842,              0.0016377,              0.0016377,              0.0016377
                    185,                0.34387,                0.28962,                0.93475,                0.98117,                0.93068,                 0.9606,                0.85679,                0.48869,                0.34467,                 1.0034,              0.0016357,              0.0016357,              0.0016357
                    186,                 0.3743,                0.29468,                0.94062,                0.99767,                0.92857,                0.95808,                0.85766,                0.44921,                0.34268,                0.98101,              0.0016337,              0.0016337,              0.0016337
                    187,                 0.3672,                 0.2978,                0.94276,                0.92844,                0.92671,                0.95896,                0.81257,                0.58576,                0.42359,                 1.1309,              0.0016317,              0.0016317,              0.0016317
                    188,                0.40003,                0.31762,                0.95759,                0.98087,                0.92857,                0.96588,                0.84015,                0.50663,                0.33926,                 1.0494,              0.0016297,              0.0016297,              0.0016297
                    189,                0.37389,                0.28852,                0.93602,                0.93513,                0.96429,                0.96656,                0.88803,                0.44913,                 0.3059,                0.97905,              0.0016278,              0.0016278,              0.0016278
                    190,                0.39462,                0.31265,                0.95889,                0.96414,                 0.9604,                0.96852,                0.89258,                0.44272,                0.28704,                0.96596,              0.0016258,              0.0016258,              0.0016258
                    191,                0.38797,                0.31108,                0.94852,                0.95955,                0.91071,                0.96251,                 0.8796,                0.47169,                0.36237,                 0.9672,              0.0016238,              0.0016238,              0.0016238
                    192,                 0.4242,                0.33543,                0.95635,                 0.9733,                0.92857,                0.96567,                0.87375,                0.45556,                0.30263,                0.98046,              0.0016218,              0.0016218,              0.0016218
                    193,                0.42595,                 0.3227,                0.95601,                      1,                 0.9613,                0.96721,                  0.872,                0.46499,                0.29691,                   0.99,              0.0016198,              0.0016198,              0.0016198
                    194,                 0.4225,                 0.3335,                0.97435,                0.96156,                0.96429,                0.96496,                0.86974,                0.43017,                0.31493,                0.95107,              0.0016179,              0.0016179,              0.0016179
                    195,                0.38102,                0.30121,                0.94841,                0.97719,                0.92857,                 0.9508,                0.86796,                0.43867,                0.32788,                0.97074,              0.0016159,              0.0016159,              0.0016159
                    196,                0.40228,                0.31324,                0.95592,                0.97495,                0.92857,                0.94542,                0.85435,                0.45548,                0.34865,                0.97802,              0.0016139,              0.0016139,              0.0016139
                    197,                0.39506,                0.30076,                 0.9452,                0.96296,                0.92857,                0.95743,                0.83834,                0.48894,                0.33602,                 0.9847,              0.0016119,              0.0016119,              0.0016119
                    198,                0.41574,                0.31987,                0.95207,                0.96357,                0.94476,                0.96452,                0.84414,                0.51514,                0.35117,                  1.003,              0.0016099,              0.0016099,              0.0016099
                    199,                0.38269,                  0.309,                0.96291,                 0.9814,                0.94223,                0.96843,                0.88234,                0.45914,                0.30383,                 0.9541,               0.001608,               0.001608,               0.001608
                    200,                0.41321,                0.31401,                 0.9548,                0.99146,                0.96429,                0.96956,                0.88401,                0.46496,                0.27956,                   0.99,               0.001606,               0.001606,               0.001606
                    201,                0.38404,                0.30455,                0.92632,                0.94861,                0.94643,                0.96746,                0.87093,                0.51349,                0.30777,                 1.0267,               0.001604,               0.001604,               0.001604
                    202,                0.38263,                0.30238,                0.94569,                0.91364,                0.94463,                0.95961,                0.84194,                0.53124,                0.34528,                  1.087,               0.001602,               0.001602,               0.001602
                    203,                0.41097,                0.31452,                0.94558,                 0.9441,                 0.9049,                  0.956,                0.82492,                0.60102,                0.48181,                 1.1457,                 0.0016,                 0.0016,                 0.0016
                    204,                0.41877,                0.32844,                0.95657,                0.93643,                0.83929,                0.92151,                0.75134,                0.70045,                 0.7066,                 1.2382,              0.0015981,              0.0015981,              0.0015981
                    205,                0.40434,                0.30807,                0.95092,                0.97694,                0.89286,                0.95895,                0.79095,                0.67066,                0.44903,                 1.2317,              0.0015961,              0.0015961,              0.0015961
                    206,                0.40596,                0.31063,                0.95197,                0.97192,                0.89286,                0.95876,                0.80925,                0.59539,                0.38059,                  1.149,              0.0015941,              0.0015941,              0.0015941
                    207,                0.39217,                0.30867,                0.95354,                      1,                0.90015,                 0.9608,                0.83829,                0.53397,                0.38099,                 1.0501,              0.0015921,              0.0015921,              0.0015921
                    208,                0.38855,                0.30666,                0.94145,                0.94096,                0.91071,                0.95195,                0.82116,                0.53606,                0.42947,                 1.0924,              0.0015901,              0.0015901,              0.0015901
                    209,                0.38804,                0.29811,                0.94093,                0.94464,                0.91421,                0.96163,                0.85618,                0.47367,                0.35151,                0.99798,              0.0015882,              0.0015882,              0.0015882
                    210,                0.38038,                0.30887,                0.95051,                      1,                0.88941,                0.96203,                0.85914,                0.49462,                0.30334,                 1.0169,              0.0015862,              0.0015862,              0.0015862
                    211,                0.42102,                0.31916,                0.94909,                0.94232,                0.94643,                0.96069,                0.85937,                0.48384,                0.31597,                 1.0088,              0.0015842,              0.0015842,              0.0015842
                    212,                0.37436,                0.29512,                0.92926,                0.97718,                0.94643,                0.96604,                0.85409,                0.53056,                0.33625,                 1.0697,              0.0015822,              0.0015822,              0.0015822
                    213,                0.43538,                0.32082,                0.92165,                0.96022,                0.92857,                0.95624,                0.84708,                0.49273,                0.33996,                 1.0109,              0.0015802,              0.0015802,              0.0015802
                    214,                0.40193,                0.31125,                0.94031,                      1,                0.88729,                0.92883,                0.83046,                0.52372,                0.30152,                 1.0486,              0.0015783,              0.0015783,              0.0015783
                    215,                0.38594,                0.29132,                0.95308,                0.98047,                0.92857,                0.93414,                0.86232,                0.47308,                 0.3018,                0.98976,              0.0015763,              0.0015763,              0.0015763
                    216,                0.39711,                0.31194,                0.94374,                0.96359,                0.94518,                0.95791,                0.87379,                0.42288,                0.32454,                0.93795,              0.0015743,              0.0015743,              0.0015743
                    217,                0.38182,                0.29672,                0.94757,                0.96898,                0.89286,                0.95273,                0.86021,                0.44557,                0.34755,                0.96179,              0.0015723,              0.0015723,              0.0015723
                    218,                0.40692,                0.30289,                0.94324,                0.96213,                0.92857,                0.94849,                0.85569,                0.45633,                0.33529,                0.96367,              0.0015703,              0.0015703,              0.0015703
                    219,                0.42139,                0.32584,                0.95345,                0.96283,                0.92511,                0.93925,                0.87162,                0.44694,                 0.3552,                0.94541,              0.0015684,              0.0015684,              0.0015684
                    220,                0.37629,                 0.2839,                0.94493,                0.99739,                0.92857,                0.96299,                0.89683,                0.40683,                0.28783,                0.93092,              0.0015664,              0.0015664,              0.0015664
                    221,                0.36715,                0.28184,                 0.9394,                0.97905,                0.94643,                 0.9649,                0.88426,                0.44074,                 0.2983,                0.95511,              0.0015644,              0.0015644,              0.0015644
                    222,                0.39103,                0.30103,                0.93915,                0.99315,                0.92857,                0.96668,                0.87562,                0.45266,                0.29262,                0.95922,              0.0015624,              0.0015624,              0.0015624
                    223,                 0.3782,                0.29038,                0.92604,                0.97858,                0.96429,                0.96851,                0.88938,                0.43262,                0.29128,                0.93121,              0.0015604,              0.0015604,              0.0015604
                    224,                0.38617,                0.30264,                 0.9292,                0.90945,                  0.875,                0.94596,                0.85606,                0.45817,                0.47186,                0.96628,              0.0015585,              0.0015585,              0.0015585
                    225,                0.37325,                 0.3038,                0.92565,                0.90825,                  0.875,                0.94101,                0.84654,                0.47068,                0.39697,                0.99809,              0.0015565,              0.0015565,              0.0015565
                    226,                0.38664,                0.29612,                0.94462,                0.93999,                0.83916,                0.90628,                0.83687,                0.49274,                0.43904,                 1.0239,              0.0015545,              0.0015545,              0.0015545
                    227,                0.37644,                0.30408,                0.94372,                0.96884,                0.91071,                0.93389,                0.84869,                0.48372,                0.34185,                0.99729,              0.0015525,              0.0015525,              0.0015525
                    228,                0.40382,                0.30626,                0.95512,                0.96254,                0.94643,                 0.9651,                0.87429,                0.44046,                0.31889,                0.97029,              0.0015505,              0.0015505,              0.0015505
                    229,                0.42591,                0.32277,                0.95811,                0.98045,                0.94643,                0.96856,                0.88994,                0.44928,                0.28372,                0.97034,              0.0015486,              0.0015486,              0.0015486
                    230,                0.41232,                0.30833,                0.94614,                0.98007,                0.96429,                0.97017,                0.89215,                 0.4234,                0.26069,                0.96251,              0.0015466,              0.0015466,              0.0015466
                    231,                0.35212,                0.28293,                0.93539,                0.94731,                0.96324,                0.96819,                0.89357,                 0.4318,                 0.3025,                0.95979,              0.0015446,              0.0015446,              0.0015446
                    232,                0.38752,                0.29522,                0.97385,                0.96426,                0.96367,                0.96714,                0.87774,                0.42318,                0.29596,                0.94929,              0.0015426,              0.0015426,              0.0015426
                    233,                0.40399,                0.31472,                 0.9573,                0.96178,                0.94643,                0.96183,                0.86596,                0.45968,                0.33546,                 0.9636,              0.0015406,              0.0015406,              0.0015406
                    234,                0.39948,                0.31134,                0.94191,                0.90863,                0.91071,                0.91637,                0.83833,                   0.49,                0.43696,                0.97339,              0.0015387,              0.0015387,              0.0015387
                    235,                0.38377,                0.29848,                0.94604,                0.93865,                0.89286,                0.92445,                0.83438,                 0.4987,                0.40737,                 1.0036,              0.0015367,              0.0015367,              0.0015367
                    236,                0.41861,                0.30366,                0.94695,                0.90775,                0.87867,                 0.9083,                0.79216,                0.53687,                0.50551,                 1.0912,              0.0015347,              0.0015347,              0.0015347
                    237,                0.36484,                 0.2858,                0.95424,                 0.9534,                0.85714,                0.91107,                 0.7909,                0.54137,                0.49377,                  1.032,              0.0015327,              0.0015327,              0.0015327
                    238,                0.39453,                 0.3054,                0.94064,                 0.9257,                0.91071,                0.95181,                0.86881,                0.44642,                0.35011,                0.96286,              0.0015307,              0.0015307,              0.0015307
                    239,                0.39034,                0.30193,                0.94197,                0.99128,                0.96429,                0.96661,                0.88821,                0.42734,                0.27574,                0.92392,              0.0015288,              0.0015288,              0.0015288
                    240,                0.40148,                0.30134,                0.94521,                      1,                0.89113,                0.95522,                0.87864,                0.42595,                0.33082,                0.94582,              0.0015268,              0.0015268,              0.0015268
                    241,                0.38558,                0.30174,                0.94988,                0.99388,                0.94643,                0.96645,                0.90516,                0.37548,                0.25472,                0.89392,              0.0015248,              0.0015248,              0.0015248
                    242,                0.36377,                0.28004,                0.93326,                0.99708,                0.96429,                0.96805,                0.90583,                0.39084,                0.24969,                0.91188,              0.0015228,              0.0015228,              0.0015228
                    243,                 0.3693,                0.28482,                0.94145,                0.99689,                0.96429,                0.96694,                0.87877,                 0.4245,                0.35309,                0.95147,              0.0015208,              0.0015208,              0.0015208
                    244,                0.36807,                0.28921,                0.93656,                0.92999,                0.96429,                 0.9631,                0.87758,                0.42698,                0.38758,                0.96993,              0.0015189,              0.0015189,              0.0015189
                    245,                0.38242,                0.29153,                0.95193,                0.98172,                0.95884,                0.97049,                0.87036,                0.48888,                0.29452,                 1.0149,              0.0015169,              0.0015169,              0.0015169
                    246,                0.33548,                0.26771,                0.92293,                0.94725,                0.96206,                0.96715,                0.88107,                0.47813,                 0.2983,                 1.0046,              0.0015149,              0.0015149,              0.0015149
                    247,                 0.3931,                0.30175,                0.93428,                0.99612,                0.89286,                0.95582,                0.85699,                0.54477,                0.36252,                 1.0884,              0.0015129,              0.0015129,              0.0015129
                    248,                0.34438,                0.27313,                0.92949,                0.98108,                0.92616,                0.96616,                0.87184,                0.48775,                0.38743,                 1.0017,              0.0015109,              0.0015109,              0.0015109
                    249,                0.35613,                  0.284,                0.95542,                0.95898,                0.96429,                0.97299,                0.85973,                0.53947,                0.33638,                  1.046,               0.001509,               0.001509,               0.001509
                    250,                0.37948,                0.27861,                0.93841,                0.91306,                0.96429,                0.96496,                0.87754,                0.45563,                0.30067,                 0.9489,               0.001507,               0.001507,               0.001507
                    251,                0.37786,                0.28263,                0.93816,                0.93086,                0.96176,                0.96675,                0.88825,                0.47157,                 0.3026,                0.97804,               0.001505,               0.001505,               0.001505
                    252,                0.35416,                0.29125,                0.92566,                0.97266,                0.91071,                0.96284,                0.86197,                0.49539,                0.33921,                 1.0192,               0.001503,               0.001503,               0.001503
                    253,                0.36524,                0.28943,                0.94808,                0.92964,                0.94385,                0.96644,                0.87757,                0.46912,                0.33655,                 0.9745,               0.001501,               0.001501,               0.001501
                    254,                0.34762,                0.27111,                0.92917,                0.96215,                0.90781,                0.94394,                0.86749,                0.45392,                0.36848,                0.96631,              0.0014991,              0.0014991,              0.0014991
                    255,                0.39198,                0.30634,                0.95525,                0.98076,                0.91043,                0.95997,                0.88066,                0.44229,                0.34082,                0.96051,              0.0014971,              0.0014971,              0.0014971
                    256,                0.33701,                 0.2706,                0.94236,                0.96356,                0.94436,                 0.9626,                0.88374,                0.44929,                 0.2992,                0.97496,              0.0014951,              0.0014951,              0.0014951
                    257,                 0.3775,                0.28145,                0.93504,                0.99622,                0.91071,                0.95693,                0.86394,                0.47751,                0.34753,                0.99132,              0.0014931,              0.0014931,              0.0014931
                    258,                0.39229,                0.29887,                0.95055,                0.97916,                0.91071,                0.94804,                0.87821,                0.44194,                0.36354,                0.97003,              0.0014911,              0.0014911,              0.0014911
                    259,                0.36677,                0.28549,                0.94666,                0.96293,                0.92763,                0.96545,                0.88532,                0.42279,                0.29461,                0.94286,              0.0014892,              0.0014892,              0.0014892
                    260,                0.38763,                0.28535,                0.92867,                0.98138,                0.94115,                0.96957,                0.90284,                0.38211,                0.24416,                0.92401,              0.0014872,              0.0014872,              0.0014872
                    261,                0.36542,                0.27751,                0.92715,                0.96263,                0.96429,                0.97194,                0.90139,                 0.4223,                0.26594,                0.94361,              0.0014852,              0.0014852,              0.0014852
                    262,                0.39594,                0.29643,                0.94209,                0.96428,                0.96402,                0.97213,                0.89192,                0.45457,                0.30446,                0.97106,              0.0014832,              0.0014832,              0.0014832
                    263,                0.38608,                0.30039,                0.95391,                0.98146,                0.94541,                0.97183,                0.89298,                 0.4345,                0.28917,                0.96695,              0.0014812,              0.0014812,              0.0014812
                    264,                0.38538,                0.29012,                0.93675,                0.98012,                0.94643,                0.96912,                0.88522,                0.42933,                0.29093,                0.95492,              0.0014793,              0.0014793,              0.0014793
                    265,                0.37054,                0.28246,                0.93256,                0.98144,                0.94444,                0.96926,                0.88787,                0.42905,                0.27617,                0.94018,              0.0014773,              0.0014773,              0.0014773
                    266,                0.38259,                0.29661,                0.93151,                0.95894,                0.92857,                0.96614,                0.90074,                0.38563,                0.27906,                0.89945,              0.0014753,              0.0014753,              0.0014753
                    267,                 0.3527,                0.27251,                0.95144,                0.94612,                0.94073,                0.96695,                 0.9028,                  0.396,                0.30466,                0.89503,              0.0014733,              0.0014733,              0.0014733
                    268,                0.36285,                0.29443,                0.92326,                0.96421,                0.96231,                0.96747,                0.90778,                0.39673,                0.29579,                0.90563,              0.0014713,              0.0014713,              0.0014713
                    269,                 0.3589,                0.26879,                0.92998,                      1,                0.94574,                0.96887,                 0.8742,                0.47348,                 0.2907,                 1.0043,              0.0014694,              0.0014694,              0.0014694
                    270,                 0.3364,                0.26052,                0.93346,                0.98045,                0.94643,                0.96659,                 0.8767,                0.46929,                0.29262,                0.98542,              0.0014674,              0.0014674,              0.0014674
                    271,                0.34979,                0.27495,                0.92564,                0.98643,                0.92857,                0.96709,                0.88069,                 0.4502,                0.29919,                0.96127,              0.0014654,              0.0014654,              0.0014654
                    272,                 0.3947,                0.30455,                0.93375,                0.93238,                0.94643,                0.96487,                0.88622,                0.44136,                  0.339,                0.94739,              0.0014634,              0.0014634,              0.0014634
                    273,                0.35844,                0.28884,                0.92229,                0.96198,                0.90378,                0.96184,                0.87657,                0.40824,                0.33971,                0.91847,              0.0014614,              0.0014614,              0.0014614
                    274,                0.36351,                 0.2757,                0.94261,                0.98017,                0.92857,                0.95554,                0.88348,                0.39739,                0.35276,                0.90383,              0.0014595,              0.0014595,              0.0014595
                    275,                0.36601,                 0.2831,                0.92806,                0.96891,                0.92857,                0.96259,                0.90059,                0.40159,                0.34975,                 0.9193,              0.0014575,              0.0014575,              0.0014575
                    276,                0.38308,                0.29794,                0.93656,                0.94494,                 0.9194,                0.95121,                0.87043,                0.44542,                0.38935,                0.97933,              0.0014555,              0.0014555,              0.0014555
                    277,                0.34076,                0.27661,                0.92224,                0.94095,                0.91071,                0.93747,                0.86604,                 0.4462,                 0.3593,                0.98236,              0.0014535,              0.0014535,              0.0014535
                    278,                0.36604,                 0.2867,                0.93506,                0.97593,                0.89286,                0.94944,                0.88619,                 0.3847,                 0.2828,                0.91656,              0.0014515,              0.0014515,              0.0014515
                    279,                0.35447,                0.26896,                0.91566,                0.98076,                0.91008,                 0.9557,                 0.8868,                 0.3951,                0.29937,                0.92624,              0.0014496,              0.0014496,              0.0014496
                    280,                0.36605,                0.26943,                0.92275,                0.98189,                  0.875,                0.95628,                0.88633,                0.39553,                0.30367,                0.92716,              0.0014476,              0.0014476,              0.0014476
                    281,                0.34984,                0.27993,                 0.9179,                0.98199,                0.89286,                0.95052,                0.88531,                0.40625,                0.33496,                0.93705,              0.0014456,              0.0014456,              0.0014456
                    282,                0.33169,                0.26802,                 0.9405,                0.97754,                0.89286,                0.95216,                0.88887,                  0.402,                0.31593,                0.94426,              0.0014436,              0.0014436,              0.0014436
                    283,                0.36823,                0.28642,                0.94235,                0.96272,                0.92244,                0.95321,                0.87435,                0.44565,                0.32992,                0.96016,              0.0014416,              0.0014416,              0.0014416
                    284,                0.36598,                0.27604,                0.94272,                0.97653,                0.94643,                 0.9536,                 0.8693,                0.45728,                0.30934,                0.96725,              0.0014397,              0.0014397,              0.0014397
